,game_id,competition_id,competition_type,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,aggregate,home_club_position,away_club_position,club_home_pretty_name,club_away_pretty_name,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url_x,pretty_name,type,sub_type,country_id,country_name,country_latitude,country_longitude,domestic_league_code,name,confederation,url_y,liga_new_id,month_year,match_name,match_name_df,homeTeamID,awayTeamID,home_name
8026,2600637,FR1,domestic_league,2015,19. Matchday,2015-12-20,40,244,1,1,1:1,14,10,Bordeaux,Olympique Marseille,Willy Sagnol,Míchel,Matmut Atlantique,39672,Benoît Bastien,https://www.transfermarkt.co.uk/fc-girondins-bordeaux_olympique-marseille/index/spielbericht/2600637,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2015-12,Bordeaux vs Olympique Marseille,GFC Ajaccio vs Lyon,173.0,178.0,GFC Ajaccio
8036,2600626,FR1,domestic_league,2015,18. Matchday,2015-12-13,583,1041,5,1,5:1,1,6,Fc Paris Saint Germain,Olympique Lyon,Laurent Blanc,Hubert Fournier,Parc des Princes,46650,Ruddy Buquet,https://www.transfermarkt.co.uk/paris-saint-germain_olympique-lyon/index/spielbericht/2600626,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2015-12,Fc Paris Saint Germain vs Olympique Lyon,Monaco vs Saint-Etienne,171.0,175.0,Monaco
8056,2600604,FR1,domestic_league,2015,16. Matchday,2015-12-03,273,244,0,1,0:1,10,8,Rennes,Olympique Marseille,Philippe Montanier,Míchel,Roazhon Park,23450,Tony Chapron,https://www.transfermarkt.co.uk/stade-rennais-fc_olympique-marseille/index/spielbericht/2600604,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2015-12,Rennes vs Olympique Marseille,,,,
8058,2600623,FR1,domestic_league,2015,17. Matchday,2015-12-06,618,273,1,1,1:1,6,10,As Saint Etienne,Rennes,Christophe Galtier,Philippe Montanier,Stade Geoffroy-Guichard,26668,Nicolas Rainville,https://www.transfermarkt.co.uk/as-saint-etienne_stade-rennais-fc/index/spielbericht/2600623,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2015-12,As Saint Etienne vs Rennes,,,,
8061,2600607,FR1,domestic_league,2015,16. Matchday,2015-12-02,1082,618,1,0,1:0,18,7,Lille,As Saint Etienne,Frédéric Antonetti,Christophe Galtier,Decathlon Arena-Stade Pierre-Mauroy,29103,Frank Schneider,https://www.transfermarkt.co.uk/losc-lille_as-saint-etienne/index/spielbericht/2600607,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2015-12,Lille vs As Saint Etienne,Nantes vs Lyon,168.0,178.0,Nantes
8066,2587014,FR1,domestic_league,2015,15. Matchday,2015-11-29,244,162,3,3,3:3,11,7,Olympique Marseille,As Monaco,Míchel,Leonardo Jardim,Orange Vélodrome,42882,Clément Turpin,https://www.transfermarkt.co.uk/olympique-marseille_as-monaco/index/spielbericht/2587014,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2015-11,Olympique Marseille vs As Monaco,Bordeaux vs Caen,176.0,165.0,Bordeaux
8067,2600608,FR1,domestic_league,2015,16. Matchday,2015-12-01,995,1041,0,0,0:0,11,4,Fc Nantes,Olympique Lyon,Michel Der Zakarian,Hubert Fournier,Stade de la Beaujoire,20896,Amaury Delerue,https://www.transfermarkt.co.uk/fc-nantes_olympique-lyon/index/spielbericht/2600608,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2015-12,Fc Nantes vs Olympique Lyon,Lorient vs Nizza,179.0,170.0,Lorient
8076,2587008,FR1,domestic_league,2015,14. Matchday,2015-11-22,618,244,0,2,0:2,7,12,As Saint Etienne,Olympique Marseille,Christophe Galtier,Míchel,Stade Geoffroy-Guichard,34681,Fredy Fautrel,https://www.transfermarkt.co.uk/as-saint-etienne_olympique-marseille/index/spielbericht/2587008,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2015-11,As Saint Etienne vs Olympique Marseille,SC Bastia vs GFC Ajaccio,162.0,173.0,SC Bastia
8087,2586996,FR1,domestic_league,2015,13. Matchday,2015-11-08,1041,618,3,0,3:0,2,5,Olympique Lyon,As Saint Etienne,Hubert Fournier,Christophe Galtier,Stade de Gerland,38752,Tony Chapron,https://www.transfermarkt.co.uk/olympique-lyon_as-saint-etienne/index/spielbericht/2586996,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2015-11,Olympique Lyon vs As Saint Etienne,Marseille vs Nizza,164.0,170.0,Marseille
8100,2586984,FR1,domestic_league,2015,12. Matchday,2015-11-01,995,244,0,1,0:1,7,12,Fc Nantes,Olympique Marseille,Michel Der Zakarian,Míchel,Stade de la Beaujoire,27392,Lionel Jaffredo,https://www.transfermarkt.co.uk/fc-nantes_olympique-marseille/index/spielbericht/2586984,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2015-11,Fc Nantes vs Olympique Marseille,Nizza vs Lille,170.0,160.0,Nizza
8101,2586991,FR1,domestic_league,2015,13. Matchday,2015-11-08,40,162,3,1,3:1,11,9,Bordeaux,As Monaco,Willy Sagnol,Leonardo Jardim,Matmut Atlantique,21090,Benoît Millot,https://www.transfermarkt.co.uk/fc-girondins-bordeaux_as-monaco/index/spielbericht/2586991,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2015-11,Bordeaux vs As Monaco,,,,
8107,2586963,FR1,domestic_league,2015,11. Matchday,2015-10-25,583,618,4,1,4:1,1,5,Fc Paris Saint Germain,As Saint Etienne,Laurent Blanc,Christophe Galtier,Parc des Princes,47385,Clément Turpin,https://www.transfermarkt.co.uk/paris-saint-germain_as-saint-etienne/index/spielbericht/2586963,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2015-10,Fc Paris Saint Germain vs As Saint Etienne,Reims vs Monaco,177.0,171.0,Reims
8267,2848788,FR1,domestic_league,2016,33. Matchday,2017-04-16,595,1041,0,0,0:0,20,4,Sc Bastia,Olympique Lyon,Rui Almeida,Bruno Génésio,Stade Armand-Cesari,12880,Amaury Delerue,https://www.transfermarkt.co.uk/sc-bastia_olympique-lyon/index/spielbericht/2848788,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2017-04,Sc Bastia vs Olympique Lyon,Nantes vs Bordeaux,168.0,176.0,Nantes
8395,2716699,FR1,domestic_league,2016,20. Matchday,2017-01-15,244,162,1,4,1:4,6,1,Olympique Marseille,As Monaco,Rudi Garcia,Leonardo Jardim,Orange Vélodrome,43814,Clément Turpin,https://www.transfermarkt.co.uk/olympique-marseille_as-monaco/index/spielbericht/2716699,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2017-01,Olympique Marseille vs As Monaco,Nizza vs Metz,170.0,180.0,Nizza
8446,2702785,FR1,domestic_league,2016,15. Matchday,2016-11-30,583,1420,2,0,2:0,2,10,Fc Paris Saint Germain,Sco Angers,Unai Emery,Stéphane Moulin,Parc des Princes,40597,Frank Schneider,https://www.transfermarkt.co.uk/paris-saint-germain_angers-sco/index/spielbericht/2702785,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2016-11,Fc Paris Saint Germain vs Sco Angers,Dijon vs Monaco,181.0,171.0,Dijon
8478,2702787,FR1,domestic_league,2016,15. Matchday,2016-11-29,2969,162,1,1,1:1,15,3,Dijon Fco,As Monaco,Olivier Dall'Oglio,Leonardo Jardim,Stade Gaston-Gérard,10263,Tony Chapron,https://www.transfermarkt.co.uk/dijon-fco_as-monaco/index/spielbericht/2702787,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2016-11,Dijon Fco vs As Monaco,Lille vs Caen,160.0,165.0,Lille
8620,2942911,FR1,domestic_league,2017,37. Matchday,2018-05-11,855,244,3,3,3:3,11,4,Guingamp,Olympique Marseille,Antoine Kombouaré,Rudi Garcia,Stade du Roudourou,18378,Amaury Delerue,https://www.transfermarkt.co.uk/ea-guingamp_olympique-marseille/index/spielbericht/2942911,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2018-05,Guingamp vs Olympique Marseille,,,,
8648,2942877,FR1,domestic_league,2017,33. Matchday,2018-04-25,1162,415,0,0,0:0,15,17,Sm Caen,Fc Toulouse,Patrice Garande,Mickaël Debève,Stade Michel-d'Ornano,18658,Benoît Millot,https://www.transfermarkt.co.uk/sm-caen_fc-toulouse/index/spielbericht/2942877,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2018-04,Sm Caen vs Fc Toulouse,,,,
9490,3199503,FR1,domestic_league,2019,15. Matchday,2019-11-30,244,3911,2,1,2:1,2,14,Olympique Marseille,Stade Brest 29,André Villas-Boas,Olivier Dall'Oglio,Orange Vélodrome,50014,Johan Hamel,https://www.transfermarkt.co.uk/olympique-marseille_stade-brestois-29/index/spielbericht/3199503,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2019-11,Olympique Marseille vs Stade Brest 29,Strasbourg vs Lyon,225.0,178.0,Strasbourg
9491,3199502,FR1,domestic_league,2019,15. Matchday,2019-11-30,273,618,2,1,2:1,3,10,Rennes,As Saint Etienne,Julien Stéphan,Claude Puel,Roazhon Park,26738,Eric Wattellier,https://www.transfermarkt.co.uk/stade-rennais-fc_as-saint-etienne/index/spielbericht/3199502,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2019-11,Rennes vs As Saint Etienne,Reims vs Bordeaux,177.0,176.0,Reims
9492,3199501,FR1,domestic_league,2019,15. Matchday,2019-11-30,995,415,2,1,2:1,7,20,Fc Nantes,Fc Toulouse,Christian Gourcuff,Antoine Kombouaré,Stade de la Beaujoire,13751,Florent Batta,https://www.transfermarkt.co.uk/fc-nantes_fc-toulouse/index/spielbericht/3199501,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2019-11,Fc Nantes vs Fc Toulouse,Nimes vs Metz,235.0,180.0,Nimes
9632,3195024,FR1,domestic_league,2019,1. Matchday,2019-08-09,3911,415,1,1,1:1,9,12,Stade Brest 29,Fc Toulouse,Olivier Dall'Oglio,Alain Casanova,Stade Francis-Le Blé,14238,Olivier Thual,https://www.transfermarkt.co.uk/stade-brestois-29_fc-toulouse/index/spielbericht/3195024,Ligue 1,domestic_league,first_tier,50,France,46.603354,1.8883335,FR1,ligue-1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1,5,2019-08,Stade Brest 29 vs Fc Toulouse,Monaco vs Lyon,171.0,178.0,Monaco
10513,2604240,IT1,domestic_league,2015,27. Matchday,2016-02-29,430,6195,1,1,1:1,4,2,Fiorentina,Napoli,Paulo Sousa,Maurizio Sarri,Artemio Franchi,31469,Paolo Tagliavento,https://www.transfermarkt.co.uk/acf-fiorentina_ssc-napoli/index/spielbericht/2604240,Serie A,domestic_league,first_tier,75,Italy,42.6384261,12.674297,IT1,serie-a,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,2,2016-02,Fiorentina vs Napoli,,,,
10514,2604230,IT1,domestic_league,2015,26. Matchday,2016-02-22,6195,5,1,1,1:1,2,6,Napoli,Ac Milan,Maurizio Sarri,Siniša Mihajlović,Stadio Diego Armando Maradona,54758,Luca Banti,https://www.transfermarkt.co.uk/ssc-napoli_ac-milan/index/spielbericht/2604230,Serie A,domestic_league,first_tier,75,Italy,42.6384261,12.674297,IT1,serie-a,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,2,2016-02,Napoli vs Ac Milan,,,,
10664,2604082,IT1,domestic_league,2015,11. Matchday,2015-11-02,458,749,0,1,0:1,16,12,Palermo,Fc Empoli,Giuseppe Iachini,Marco Giampaolo,"Comunale Renzo Barbera ""La Favorita""",16731,Marco Di Bello,https://www.transfermarkt.co.uk/us-palermo_empoli-fc/index/spielbericht/2604082,Serie A,domestic_league,first_tier,75,Italy,42.6384261,12.674297,IT1,serie-a,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,2,2015-11,Palermo vs Fc Empoli,,,,
10668,2604109,IT1,domestic_league,2015,14. Matchday,2015-11-30,6195,46,2,1,2:1,1,2,Napoli,Ac Milan,Maurizio Sarri,Roberto Mancini,Stadio Diego Armando Maradona,54149,Daniele Orsato,https://www.transfermarkt.co.uk/ssc-napoli_inter-milan/index/spielbericht/2604109,Serie A,domestic_league,first_tier,75,Italy,42.6384261,12.674297,IT1,serie-a,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,2,2015-11,Napoli vs Ac Milan,,,,
10995,2726630,IT1,domestic_league,2016,16. Matchday,2016-12-12,12,5,1,0,1:0,2,3,roma,Ac Milan,Luciano Spalletti,Vincenzo Montella,Olimpico di Roma,41841,Paolo Silvio Mazzoleni,https://www.transfermarkt.co.uk/as-roma_ac-milan/index/spielbericht/2726630,Serie A,domestic_league,first_tier,75,Italy,42.6384261,12.674297,IT1,serie-a,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,2,2016-12,roma vs Ac Milan,,,,
11004,2726622,IT1,domestic_league,2016,15. Matchday,2016-12-05,410,1025,1,0,1:0,14,16,Udinese Calcio,Fc Bologna,Luigi Delneri,Roberto Donadoni,Dacia Arena,16014,Fabrizio Pasqua,https://www.transfermarkt.co.uk/udinese-calcio_bologna-fc-1909/index/spielbericht/2726622,Serie A,domestic_league,first_tier,75,Italy,42.6384261,12.674297,IT1,serie-a,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,2,2016-12,Udinese Calcio vs Fc Bologna,Chievo vs Genoa,109.0,101.0,Chievo
11014,2726608,IT1,domestic_league,2016,14. Matchday,2016-11-28,46,430,4,2,4:2,9,10,Ac Milan,Fiorentina,Stefano Pioli,Paulo Sousa,Giuseppe Meazza,40558,Antonio Damato,https://www.transfermarkt.co.uk/inter-milan_acf-fiorentina/index/spielbericht/2726608,Serie A,domestic_league,first_tier,75,Italy,42.6384261,12.674297,IT1,serie-a,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,2,2016-11,Ac Milan vs Fiorentina,,,,
11044,2726575,IT1,domestic_league,2016,11. Matchday,2016-10-31,1390,458,2,1,2:1,10,19,Cagliari,Palermo,Massimo Rastelli,Roberto De Zerbi,Sant'Elia,14625,Massimiliano Irrati,https://www.transfermarkt.co.uk/cagliari-calcio_us-palermo/index/spielbericht/2726575,Serie A,domestic_league,first_tier,75,Italy,42.6384261,12.674297,IT1,serie-a,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,2,2016-10,Cagliari vs Palermo,,,,
11322,2897314,IT1,domestic_league,2017,22. Matchday,2018-01-27,862,506,0,2,0:2,13,2,Chievo Verona,Juventus,Rolando Maran,Massimiliano Allegri,Marcantonio Bentegodi,27000,Fabio Maresca,https://www.transfermarkt.co.uk/chievo-verona_juventus-fc/index/spielbericht/2897314,Serie A,domestic_league,first_tier,75,Italy,42.6384261,12.674297,IT1,serie-a,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,2,2018-01,Chievo Verona vs Juventus,,,,
11323,2897308,IT1,domestic_league,2017,22. Matchday,2018-01-27,6574,800,0,3,0:3,14,8,Sassuolo,Atalanta,Giuseppe Iachini,Gian Piero Gasperini,Mapei Stadium - Città del Tricolore,8852,Paolo Valeri,https://www.transfermarkt.co.uk/us-sassuolo_atalanta-bc/index/spielbericht/2897308,Serie A,domestic_league,first_tier,75,Italy,42.6384261,12.674297,IT1,serie-a,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,2,2018-01,Sassuolo vs Atalanta,,,,
