game_id,date,home_club_id,away_club_id,homeTeamID,awayTeamID,gameID
2482105,2014-08-08,1421,583,177,161,6185.0
2482108,2014-08-09,855,618,169,175,6188.0
2482107,2014-08-09,14171,1162,209,165,6187.0
2482110,2014-08-09,969,40,166,176,6190.0
2482111,2014-08-09,995,826,168,210,6191.0
2482109,2014-08-09,1082,347,160,180,6189.0
2482112,2014-08-09,417,415,170,174,6192.0
2482106,2014-08-09,595,244,162,164,6186.0
2482113,2014-08-10,1041,273,178,163,6193.0
2482114,2014-08-10,162,1158,171,179,6194.0
2482116,2014-08-15,1162,1082,165,160,6195.0
2482120,2014-08-16,347,995,180,168,6201.0
2482117,2014-08-16,826,855,210,169,6199.0
2482121,2014-08-16,583,595,161,162,6196.0
2460303,2014-08-16,512,405,85,71,4752.0
2460300,2014-08-16,985,2288,89,84,4749.0
2460304,2014-08-16,984,289,76,77,4753.0
2460302,2014-08-16,1039,3008,202,91,4751.0
2460305,2014-08-16,379,148,81,82,4754.0
2482122,2014-08-16,273,14171,163,209,6197.0
2460296,2014-08-16,11,873,83,78,4755.0
2482124,2014-08-16,415,1041,174,178,6198.0
2460298,2014-08-16,1003,29,75,72,4750.0
2482118,2014-08-16,1158,417,179,170,6200.0
2482115,2014-08-17,40,162,176,171,6204.0
2482123,2014-08-17,618,1421,175,177,6203.0
2460299,2014-08-17,31,180,87,74,4756.0
2460301,2014-08-17,762,281,86,88,4757.0
2482119,2014-08-17,244,969,164,166,6202.0
2460297,2014-08-18,1132,631,92,80,4758.0
2460626,2014-08-22,27,82,117,131,5447.0
2482126,2014-08-22,14171,583,209,161,6205.0
2478481,2014-08-23,873,379,78,81,4761.0
2460629,2014-08-23,533,167,120,121,5448.0
2475187,2014-08-23,1084,621,137,147,5826.0
2460630,2014-08-23,42,33,128,124,5449.0
2482133,2014-08-23,1421,1162,177,165,6209.0
2460627,2014-08-23,16,15,129,119,5453.0
2478482,2014-08-23,180,984,74,76,4762.0
2478483,2014-08-23,2288,1132,84,92,4763.0
2482125,2014-08-23,595,415,162,174,6211.0
2482130,2014-08-23,969,347,166,180,6210.0
2460632,2014-08-23,24,60,132,135,5451.0
2475185,2014-08-23,3302,714,208,141,5829.0
2482128,2014-08-23,1082,1158,160,179,6207.0
2478484,2014-08-23,29,11,72,83,4764.0
2482132,2014-08-23,417,40,170,176,6208.0
2460633,2014-08-23,3,41,134,118,5452.0
2478480,2014-08-23,631,1003,80,75,4760.0
2478479,2014-08-23,405,762,71,86,4759.0
2475180,2014-08-23,368,1049,138,146,5827.0
2482127,2014-08-23,855,244,169,164,6206.0
2460631,2014-08-23,44,86,122,123,5450.0
2475188,2014-08-23,16795,897,155,139,5828.0
2482131,2014-08-24,995,162,168,171,6214.0
2475183,2014-08-24,940,3709,152,142,5832.0
2482129,2014-08-24,1041,826,178,210,6212.0
2478486,2014-08-24,148,1039,82,202,4766.0
2475186,2014-08-24,1533,681,156,140,5830.0
2475181,2014-08-24,3368,1050,151,154,5833.0
2478487,2014-08-24,289,985,77,89,4767.0
2460634,2014-08-24,127,39,205,125,5454.0
2478485,2014-08-24,3008,512,91,85,4765.0
2460628,2014-08-24,18,79,130,133,5455.0
2482134,2014-08-24,618,273,175,163,6213.0
2475184,2014-08-24,131,1531,148,207,5831.0
2475189,2014-08-25,418,993,150,206,5834.0
2478488,2014-08-25,281,31,88,87,4768.0
2475182,2014-08-25,367,13,145,143,5835.0
2482139,2014-08-29,244,417,164,170,6215.0
2475192,2014-08-29,3709,3302,142,208,5836.0
2475190,2014-08-29,1049,1084,146,137,5837.0
2460639,2014-08-29,167,16,121,129,5456.0
2460636,2014-08-30,15,44,119,122,5460.0
2486494,2014-08-30,2288,984,84,76,4773.0
2486489,2014-08-30,1132,985,92,89,4769.0
2486496,2014-08-30,29,631,72,80,4775.0
2478590,2014-08-30,862,506,109,98,5149.0
2460640,2014-08-30,86,533,123,120,5457.0
2478594,2014-08-30,12,430,95,110,5150.0
2475193,2014-08-30,993,940,206,152,5838.0
2482138,2014-08-30,1158,855,179,169,6221.0
2486491,2014-08-30,281,512,88,85,4770.0
2482136,2014-08-30,1162,273,165,163,6219.0
2486493,2014-08-30,1039,289,202,77,4772.0
2475195,2014-08-30,13,1533,143,156,5840.0
2482144,2014-08-30,415,14171,174,209,6218.0
2475199,2014-08-30,621,3368,147,151,5839.0
2482137,2014-08-30,826,1421,210,177,6220.0
2460635,2014-08-30,33,27,124,117,5462.0
2460642,2014-08-30,79,3,133,134,5458.0
2482141,2014-08-30,162,1082,171,160,6216.0
2460637,2014-08-30,82,24,131,132,5461.0
2486495,2014-08-30,379,180,81,74,4774.0
2475191,2014-08-30,714,368,141,138,5841.0
2482142,2014-08-30,995,969,168,166,6217.0
2486492,2014-08-30,762,873,86,78,4771.0
2460643,2014-08-30,41,127,118,205,5459.0
2460641,2014-08-31,60,18,135,130,5464.0
2478593,2014-08-31,458,1038,100,102,5153.0
2486497,2014-08-31,148,31,82,87,4777.0
2475194,2014-08-31,681,418,140,150,5844.0
2486490,2014-08-31,405,3008,71,91,4776.0
2478588,2014-08-31,800,276,107,94,5151.0
2475198,2014-08-31,1050,131,154,148,5842.0
2482143,2014-08-31,583,618,161,175,6224.0
2478597,2014-08-31,410,749,99,108,5158.0
2482135,2014-08-31,40,595,176,162,6222.0
2478596,2014-08-31,416,46,113,106,5157.0
2478595,2014-08-31,6574,1390,104,116,5156.0
2482140,2014-08-31,347,1041,180,178,6223.0
2478589,2014-08-31,1429,130,203,230,5154.0
2475197,2014-08-31,1531,16795,207,155,5785.0
2478591,2014-08-31,252,6195,101,105,5155.0
2478592,2014-08-31,5,398,111,96,5152.0
2475196,2014-08-31,897,367,139,145,5843.0
2460638,2014-08-31,39,42,125,128,5463.0
2486498,2014-08-31,1003,11,75,83,4778.0
2460646,2014-09-12,15,86,119,123,5411.0
2482149,2014-09-12,1041,162,178,171,6145.0
2475202,2014-09-12,3302,993,208,206,5786.0
2460647,2014-09-13,18,33,130,124,5417.0
2486506,2014-09-13,31,405,87,71,4726.0
2478603,2014-09-13,506,410,98,99,5110.0
2486501,2014-09-13,873,1132,78,92,4721.0
2460650,2014-09-13,44,39,122,125,5415.0
2500952,2014-09-13,273,583,163,161,6146.0
2486504,2014-09-13,289,148,77,82,4724.0
2486503,2014-09-13,512,1003,85,75,4723.0
2460652,2014-09-13,127,3,205,134,5416.0
2460648,2014-09-13,533,82,120,131,5412.0
2500953,2014-09-13,417,347,170,180,6150.0
