,club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
176,33,fc-schalke-04,Fc Schalke 04,L1,,28,26.9,14,50.0,4,Veltins-Arena,62271,+€8.07m,Thomas Reis,https://www.transfermarkt.co.uk/fc-schalke-04/startseite/verein/33
179,80,vfl-bochum,Vfl Bochum,L1,,29,27.4,17,58.6,7,Vonovia Ruhrstadion,26000,+€13.35m,Thomas Letsch,https://www.transfermarkt.co.uk/vfl-bochum/startseite/verein/80
185,989,afc-bournemouth,Afc Bournemouth,GB1,,27,26.2,13,48.1,9,Vitality Stadium,11329,€-26.90m,Gary O'Neil,https://www.transfermarkt.co.uk/afc-bournemouth/startseite/verein/989
187,3522,spezia-calcio,Spezia Calcio,IT1,,27,24.7,22,81.5,13,Alberto Picco,11512,€-1.70m,Luca Gotti,https://www.transfermarkt.co.uk/spezia-calcio/startseite/verein/3522
188,276,hellas-verona,Hellas Verona,IT1,,30,25.5,16,53.3,7,Marcantonio Bentegodi,39211,€-10.90m,Salvatore Bocchetti,https://www.transfermarkt.co.uk/hellas-verona/startseite/verein/276
190,380,us-salernitana-1919,Us Salernitana 1919,IT1,,30,25.9,18,60.0,8,Arechi,29739,€-23.38m,Davide Nicola,https://www.transfermarkt.co.uk/us-salernitana-1919/startseite/verein/380
191,1005,us-lecce,Us Lecce,IT1,,32,23.6,23,71.9,6,Ettore Giardiniero,31559,€-2.40m,Marco Baroni,https://www.transfermarkt.co.uk/us-lecce/startseite/verein/1005
193,410,udinese-calcio,Udinese Calcio,IT1,,27,25.2,22,81.5,6,Dacia Arena,25144,+€4.20m,Andrea Sottil,https://www.transfermarkt.co.uk/udinese-calcio/startseite/verein/410
194,6574,us-sassuolo,Us Sassuolo,IT1,,29,25.1,18,62.1,11,Mapei Stadium - Città del Tricolore,21584,+€25.60m,Alessio Dionisi,https://www.transfermarkt.co.uk/us-sassuolo/startseite/verein/6574
195,430,ac-florenz,Ac Florenz,IT1,,28,25.6,15,53.6,11,Artemio Franchi,47282,+€23.60m,Vincenzo Italiano,https://www.transfermarkt.co.uk/ac-florenz/startseite/verein/430
196,398,lazio-rom,Lazio Rom,IT1,,26,26.6,17,65.4,9,Olimpico di Roma,73261,€-3.57m,Maurizio Sarri,https://www.transfermarkt.co.uk/lazio-rom/startseite/verein/398
197,800,atalanta-bergamo,Atalanta Bergamo,IT1,,26,26.2,17,65.4,17,Gewiss Stadium,22512,€-17.29m,Gian Piero Gasperini,https://www.transfermarkt.co.uk/atalanta-bergamo/startseite/verein/800
198,12,as-rom,As Rom,IT1,,29,25.4,18,62.1,17,Olimpico di Roma,73261,+€41.35m,José Mourinho,https://www.transfermarkt.co.uk/as-rom/startseite/verein/12
199,506,juventus-turin,Juventus Turin,IT1,,27,26.9,16,59.3,18,Allianz Stadium,41507,+€2.28m,Massimiliano Allegri,https://www.transfermarkt.co.uk/juventus-turin/startseite/verein/506
200,1038,sampdoria-genua,Sampdoria Genua,IT1,,29,26.6,14,48.3,7,Luigi Ferraris,36348,+€22.00m,Dejan Stanković,https://www.transfermarkt.co.uk/sampdoria-genua/startseite/verein/1038
201,46,inter-mailand,Inter Mailand,IT1,,28,27.5,17,60.7,16,Giuseppe Meazza,75923,€-30.50m,Simone Inzaghi,https://www.transfermarkt.co.uk/inter-mailand/startseite/verein/46
